"Sr. No.","HS Code","HS Description","Country Name","April-2019-20_INR_Cr","April-2019-20_USD_Mn","April-2020-21_INR_Cr","April-2020-21_USD_Mn","April-2021-22_INR_Cr","April-2021-22_USD_Mn","April-2022-23_INR_Cr","April-2022-23_USD_Mn","April-2023-24_INR_Cr","April-2023-24_USD_Mn","April-2024-25_INR_Cr","April-2024-25_USD_Mn","April-2025-26_INR_Cr","April-2025-26_USD_Mn","April-2026-27_INR_Cr","April-2026-27_USD_Mn","August-2019-20_INR_Cr","August-2019-20_USD_Mn","August-2020-21_INR_Cr","August-2020-21_USD_Mn","August-2021-22_INR_Cr","August-2021-22_USD_Mn","August-2022-23_INR_Cr","August-2022-23_USD_Mn","August-2023-24_INR_Cr","August-2023-24_USD_Mn","August-2024-25_INR_Cr","August-2024-25_USD_Mn","August-2025-26_INR_Cr","August-2025-26_USD_Mn","December-2019-20_INR_Cr","December-2019-20_USD_Mn","December-2020-21_INR_Cr","December-2020-21_USD_Mn","December-2021-22_INR_Cr","December-2021-22_USD_Mn","December-2022-23_INR_Cr","December-2022-23_USD_Mn","December-2023-24_INR_Cr","December-2023-24_USD_Mn","December-2024-25_INR_Cr","December-2024-25_USD_Mn","December-2025-26_INR_Cr","December-2025-26_USD_Mn","February-2019-20_INR_Cr","February-2019-20_USD_Mn","February-2020-21_INR_Cr","February-2020-21_USD_Mn","February-2021-22_INR_Cr","February-2021-22_USD_Mn","February-2022-23_INR_Cr","February-2022-23_USD_Mn","February-2023-24_INR_Cr","February-2023-24_USD_Mn","February-2024-25_INR_Cr","February-2024-25_USD_Mn","February-2025-26_INR_Cr","February-2025-26_USD_Mn","January-2019-20_INR_Cr","January-2019-20_USD_Mn","January-2020-21_INR_Cr","January-2020-21_USD_Mn","January-2021-22_INR_Cr","January-2021-22_USD_Mn","January-2022-23_INR_Cr","January-2022-23_USD_Mn","January-2023-24_INR_Cr","January-2023-24_USD_Mn","January-2024-25_INR_Cr","January-2024-25_USD_Mn","January-2025-26_INR_Cr","January-2025-26_USD_Mn","July-2019-20_INR_Cr","July-2019-20_USD_Mn","July-2020-21_INR_Cr","July-2020-21_USD_Mn","July-2021-22_INR_Cr","July-2021-22_USD_Mn","July-2022-23_INR_Cr","July-2022-23_USD_Mn","July-2023-24_INR_Cr","July-2023-24_USD_Mn","July-2024-25_INR_Cr","July-2024-25_USD_Mn","July-2025-26_INR_Cr","July-2025-26_USD_Mn","June-2019-20_INR_Cr","June-2019-20_USD_Mn","June-2020-21_INR_Cr","June-2020-21_USD_Mn","June-2021-22_INR_Cr","June-2021-22_USD_Mn","June-2022-23_INR_Cr","June-2022-23_USD_Mn","June-2023-24_INR_Cr","June-2023-24_USD_Mn","June-2024-25_INR_Cr","June-2024-25_USD_Mn","June-2025-26_INR_Cr","June-2025-26_USD_Mn","June-2026-27_INR_Cr","June-2026-27_USD_Mn","March-2019-20_INR_Cr","March-2019-20_USD_Mn","March-2020-21_INR_Cr","March-2020-21_USD_Mn","March-2021-22_INR_Cr","March-2021-22_USD_Mn","March-2022-23_INR_Cr","March-2022-23_USD_Mn","March-2023-24_INR_Cr","March-2023-24_USD_Mn","March-2024-25_INR_Cr","March-2024-25_USD_Mn","March-2025-26_INR_Cr","March-2025-26_USD_Mn","May-2019-20_INR_Cr","May-2019-20_USD_Mn","May-2020-21_INR_Cr","May-2020-21_USD_Mn","May-2021-22_INR_Cr","May-2021-22_USD_Mn","May-2022-23_INR_Cr","May-2022-23_USD_Mn","May-2023-24_INR_Cr","May-2023-24_USD_Mn","May-2024-25_INR_Cr","May-2024-25_USD_Mn","May-2025-26_INR_Cr","May-2025-26_USD_Mn","May-2026-27_INR_Cr","May-2026-27_USD_Mn","November-2019-20_INR_Cr","November-2019-20_USD_Mn","November-2020-21_INR_Cr","November-2020-21_USD_Mn","November-2021-22_INR_Cr","November-2021-22_USD_Mn","November-2022-23_INR_Cr","November-2022-23_USD_Mn","November-2023-24_INR_Cr","November-2023-24_USD_Mn","November-2024-25_INR_Cr","November-2024-25_USD_Mn","November-2025-26_INR_Cr","November-2025-26_USD_Mn","October-2019-20_INR_Cr","October-2019-20_USD_Mn","October-2020-21_INR_Cr","October-2020-21_USD_Mn","October-2021-22_INR_Cr","October-2021-22_USD_Mn","October-2022-23_INR_Cr","October-2022-23_USD_Mn","October-2023-24_INR_Cr","October-2023-24_USD_Mn","October-2024-25_INR_Cr","October-2024-25_USD_Mn","October-2025-26_INR_Cr","October-2025-26_USD_Mn","September-2019-20_INR_Cr","September-2019-20_USD_Mn","September-2020-21_INR_Cr","September-2020-21_USD_Mn","September-2021-22_INR_Cr","September-2021-22_USD_Mn","September-2022-23_INR_Cr","September-2022-23_USD_Mn","September-2023-24_INR_Cr","September-2023-24_USD_Mn","September-2024-25_INR_Cr","September-2024-25_USD_Mn","September-2025-26_INR_Cr","September-2025-26_USD_Mn"
"1","30","PHARMACEUTICAL PRODUCTS","U S A","3,400.963","489.859","4,300.363","564.082","3,932.031","527.986","4,135.330","542.924","5,889.823","718.089","7,704.851","923.777","7,138.306","834.292","6,849.521","732.176","3,632.885","510.626","4,449.504","595.874","4,070.211","548.660","5,365.964","674.497","4,885.891","590.187","5,852.834","697.627","5,658.876","646.593","4,070.956","571.823","4,373.062","594.218","4,248.932","563.724","4,646.498","563.456","5,762.627","691.969","5,933.995","698.230","6,024.491","668.709","3,733.812","522.295","4,014.022","551.706","3,712.856","495.027","4,710.015","570.161","7,234.384","871.995","7,415.029","851.766","6,133.207","675.979","3,658.615","513.031","4,302.140","588.452","3,805.980","511.271","4,032.663","492.391","4,753.600","571.889","7,344.384","851.368","6,295.856","693.383","3,812.128","554.022","4,575.691","610.146","4,410.567","591.808","4,311.193","541.596","4,596.570","559.521","5,987.986","716.312","6,790.641","788.559","3,921.355","564.720","4,515.926","596.344","4,126.130","560.933","4,326.908","554.202","5,148.015","626.023","6,203.401","743.181","7,272.897","846.637","7,798.877","821.198","3,709.398","498.906","4,435.509","609.333","4,534.591","594.743","5,595.156","679.943","6,886.628","829.738","12,816.426","1,479.313","6,810.701","734.222","3,688.737","528.676","5,263.758","695.713","4,205.898","574.045","4,352.234","562.891","4,586.285","556.971","5,531.651","663.324","6,351.339","745.552","6,956.740","727.711","3,734.102","522.605","3,921.008","528.297","3,479.431","467.060","4,424.030","540.766","5,338.019","640.834","5,082.747","602.475","5,945.182","669.310","3,532.769","497.297","4,390.073","597.630","4,004.391","534.522","4,077.499","495.202","5,428.570","652.196","6,720.936","799.830","6,486.114","733.587","3,981.283","558.121","4,762.235","648.085","3,696.372","502.474","5,002.854","623.552","6,399.176","770.544","6,341.591","756.679","5,549.413","628.312"
"2","30","PHARMACEUTICAL PRODUCTS","RUSSIA","251.497","36.225","221.593","29.067","310.290","41.665","198.729","26.091","223.272","27.221","279.157","33.470","360.208","42.100","297.451","31.796","310.322","43.618","251.977","33.745","289.783","39.062","287.064","36.084","307.203","37.108","342.639","40.841","362.573","41.428","269.358","37.835","469.126","63.745","351.222","46.598","317.081","38.451","263.420","31.631","319.275","37.568","332.754","36.935","179.745","25.143","307.183","42.221","285.667","38.087","237.281","28.724","293.245","35.346","245.027","28.146","335.164","36.941","168.716","23.658","313.153","42.833","220.972","29.684","307.483","37.544","256.004","30.799","238.052","27.595","362.652","39.940","240.323","34.926","190.272","25.372","304.079","40.801","463.358","58.210","246.848","30.048","297.399","35.576","354.875","41.210","253.650","36.529","310.684","41.027","247.443","33.639","253.387","32.454","271.957","33.071","338.234","40.521","327.367","38.109","445.635","46.924","168.044","22.601","298.162","40.960","196.457","25.767","231.754","28.164","358.541","43.199","473.784","54.686","348.566","37.577","216.642","31.049","284.963","37.664","249.381","34.037","183.044","23.674","238.442","28.957","209.134","25.078","333.769","39.180","315.587","33.012","413.289","57.842","331.612","44.680","364.886","48.980","319.353","39.036","250.593","30.084","228.404","27.074","342.807","38.593","357.656","50.346","236.148","32.147","328.441","43.842","311.529","37.834","219.735","26.399","332.150","39.528","312.467","35.340","289.442","40.576","268.466","36.535","421.912","57.354","347.640","43.330","272.487","32.811","259.829","31.003","388.512","43.988"
"3","30","PHARMACEUTICAL PRODUCTS","SOUTH AFRICA","235.268","33.887","251.175","32.947","350.251","47.031","343.834","45.142","381.331","46.492","360.172","43.183","478.139","55.883","551.450","58.947","337.787","47.478","358.427","48.000","373.235","50.312","493.853","62.077","404.596","48.873","500.453","59.651","553.068","63.195","384.227","53.970","619.504","84.179","363.443","48.220","447.822","54.305","631.832","75.870","415.552","48.896","544.302","60.417","458.915","64.194","434.520","59.723","271.510","36.200","374.452","45.328","484.952","58.454","469.757","53.961","612.069","67.460","314.756","44.137","547.736","74.920","292.551","39.299","380.568","46.468","509.915","61.346","464.741","53.873","553.971","61.011","281.874","40.965","373.379","49.788","355.147","47.653","483.648","60.759","368.504","44.856","488.328","58.416","456.596","53.022","336.913","48.519","488.993","64.573","326.909","44.442","339.429","43.475","398.955","48.515","484.594","58.055","456.838","53.180","501.313","52.787","406.521","54.676","590.159","81.074","363.933","47.732","461.204","56.047","649.949","78.309","413.241","47.698","621.222","66.970","229.717","32.923","459.562","60.741","291.672","39.809","276.506","35.762","384.993","46.755","440.953","52.877","431.449","50.646","421.830","44.126","293.717","41.107","470.528","63.397","251.358","33.741","392.335","47.957","434.983","52.220","467.552","55.421","578.583","65.137","303.882","42.776","303.140","41.267","421.155","56.218","359.916","43.711","498.852","59.933","394.591","46.959","503.650","56.963","391.954","54.947","621.323","84.555","439.968","59.808","412.311","51.390","442.710","53.308","488.453","58.282","546.487","61.874"
"4","30","PHARMACEUTICAL PRODUCTS","NIGERIA","221.405","31.890","112.339","14.736","363.756","48.845","345.277","45.331","369.951","45.104","250.170","29.994","377.660","44.139","524.073","56.021","313.406","44.051","287.479","38.499","297.681","40.127","266.213","33.463","360.953","43.601","396.637","47.277","590.603","67.483","200.693","28.190","387.110","52.601","323.604","42.934","235.154","28.516","281.344","33.783","418.381","49.229","393.661","43.696","226.462","31.678","368.745","50.682","275.005","36.666","325.519","39.405","299.795","36.136","325.084","37.343","354.591","39.082","241.298","33.836","384.109","52.539","304.839","40.950","218.521","26.682","263.728","31.728","285.528","33.099","453.936","49.993","174.195","25.316","193.035","25.740","337.169","45.241","327.484","41.140","300.412","36.568","235.881","28.217","503.916","58.517","167.205","24.079","211.474","27.926","291.404","39.615","299.060","38.304","347.281","42.231","282.381","33.830","429.149","49.957","483.607","50.922","213.635","28.733","620.153","85.194","412.403","54.089","414.594","50.383","314.972","37.950","412.134","47.570","456.365","49.198","222.128","31.836","220.328","29.121","219.515","29.961","247.103","31.959","210.976","25.621","197.375","23.668","311.230","36.534","370.216","38.727","252.581","35.350","260.485","35.096","280.317","37.628","224.573","27.450","277.034","33.258","446.360","52.909","612.111","68.912","287.394","40.456","283.766","38.630","406.732","54.292","268.028","32.551","319.488","38.384","363.923","43.309","575.576","65.098","246.449","34.549","382.425","52.044","283.413","38.526","360.536","44.937","297.139","35.779","346.853","41.387","744.209","84.260"
"5","30","PHARMACEUTICAL PRODUCTS","U K","207.497","29.887","313.055","41.064","431.261","57.909","369.597","48.524","399.602","48.720","435.752","52.245","575.952","67.315","650.397","69.524","275.281","38.693","339.564","45.474","381.290","51.397","321.816","40.452","487.006","58.828","586.296","69.883","563.475","64.384","274.984","38.625","445.634","60.553","315.478","41.856","430.477","52.202","541.522","65.025","600.719","70.684","539.298","59.861","286.937","40.137","410.329","56.398","404.584","53.942","406.029","49.151","539.080","64.978","549.075","63.072","630.242","69.463","332.164","46.578","383.429","52.446","354.906","47.676","360.824","44.057","480.422","57.798","551.977","63.986","551.555","60.745","300.835","43.721","400.618","53.420","496.208","66.581","353.771","44.443","443.459","53.980","576.566","68.972","613.141","71.201","264.511","38.093","311.398","41.121","415.415","56.474","335.794","43.009","449.693","54.685","544.538","65.237","540.580","62.929","583.279","61.418","242.448","32.609","484.692","66.585","375.757","49.283","431.837","52.478","550.555","66.334","612.131","70.654","710.150","76.557","270.596","38.782","339.382","44.856","365.441","49.877","296.734","38.378","425.943","51.728","525.159","62.974","524.689","61.591","649.297","67.920","271.798","38.039","380.990","51.333","352.103","47.264","316.185","38.648","429.213","51.527","457.551","54.235","599.733","67.518","230.590","32.459","393.671","53.591","335.322","44.760","295.588","35.898","454.634","54.620","599.292","71.319","500.429","56.599","264.024","37.013","378.542","51.515","350.014","47.580","344.634","42.955","427.187","51.439","566.475","67.592","657.348","74.426"
"6","30","PHARMACEUTICAL PRODUCTS","CANADA","171.035","24.635","193.366","25.364","221.211","29.704","265.306","34.832","250.993","30.601","324.733","38.934","344.038","40.210","491.622","52.552","144.446","20.303","227.962","30.528","226.092","30.477","281.148","35.340","257.635","31.121","401.097","47.809","354.420","40.497","131.431","18.461","280.352","38.095","263.570","34.969","360.498","43.716","334.548","40.172","497.194","58.503","389.826","43.270","150.376","21.035","263.231","36.180","204.163","27.221","236.152","28.587","324.963","39.169","332.985","38.250","432.909","47.714","193.069","27.073","254.528","34.815","231.648","31.118","317.024","38.709","314.263","37.808","378.529","43.879","424.747","46.779","177.432","25.786","206.520","27.538","212.536","28.518","261.583","32.862","301.794","36.736","332.489","39.774","380.989","44.242","159.288","22.939","213.408","28.181","186.763","25.390","267.042","34.203","269.916","32.823","307.511","36.841","452.466","52.671","524.709","55.250","201.113","27.049","227.452","31.246","263.546","34.566","360.339","43.790","358.922","43.245","509.243","58.778","470.275","50.698","130.357","18.683","226.964","29.998","205.355","28.028","284.679","36.819","275.191","33.420","293.952","35.249","379.178","44.510","484.026","50.632","177.847","24.891","237.159","31.954","157.500","21.142","287.612","35.156","278.966","33.490","316.149","37.474","453.725","51.080","170.892","24.056","212.103","28.874","248.674","33.194","249.237","30.269","311.048","37.370","465.448","55.391","346.692","39.211","117.200","16.430","244.905","33.329","224.546","30.524","329.798","41.106","319.704","38.497","413.224","49.306","418.578","47.392"
"7","30","PHARMACEUTICAL PRODUCTS","BRAZIL","161.612","23.278","122.977","16.131","178.789","24.007","222.708","29.239","284.932","34.739","297.756","35.700","355.290","41.525","427.635","45.712","133.060","18.702","190.328","25.489","290.138","39.110","204.157","25.662","293.931","35.505","294.970","35.159","522.321","59.681","150.175","21.094","201.000","27.312","205.762","27.299","317.444","38.495","304.448","36.558","418.666","49.263","446.766","49.590","160.185","22.407","221.113","30.391","233.444","31.125","272.734","33.015","275.172","33.168","357.459","41.061","451.670","49.781","318.077","44.602","219.184","29.980","167.031","22.438","307.856","37.589","209.350","25.186","315.619","36.587","400.986","44.162","148.363","21.562","200.523","26.739","329.592","44.224","295.455","37.117","311.588","37.928","294.969","35.286","458.185","53.206","143.302","20.637","213.849","28.240","288.033","39.157","283.902","36.363","307.998","37.454","309.681","37.100","296.962","34.569","540.158","56.877","201.113","27.049","215.780","29.643","271.312","35.584","270.535","32.876","332.502","40.062","531.274","61.321","484.230","52.202","163.375","23.415","134.397","17.763","225.106","30.724","175.430","22.689","342.089","41.544","338.889","40.638","369.363","43.358","560.026","58.582","243.597","34.093","202.902","27.338","146.191","19.624","295.220","36.086","265.293","31.849","492.635","58.394","561.237","63.184","104.681","14.736","162.108","22.068","216.697","28.926","239.604","29.099","231.513","27.814","418.583","49.814","387.662","43.845","184.742","25.898","263.840","35.906","239.091","32.501","249.102","31.048","291.148","35.058","333.892","39.840","607.497","68.782"
"8","30","PHARMACEUTICAL PRODUCTS","GERMANY","125.711","18.107","216.590","28.410","186.324","25.019","194.317","25.512","270.705","33.004","208.497","24.998","289.288","33.811","435.284","46.529","187.328","26.330","214.177","28.682","164.938","22.233","181.089","22.763","226.344","27.341","319.079","38.033","258.889","29.581","228.416","32.084","177.650","24.139","217.930","28.914","208.829","25.324","256.960","30.855","323.062","38.013","328.937","36.512","181.761","25.425","200.239","27.522","246.314","32.841","237.606","28.763","215.308","25.952","305.591","35.103","437.220","48.189","192.440","26.985","184.381","25.220","173.366","23.289","218.254","26.649","180.730","21.743","329.201","38.161","438.128","48.252","138.285","20.097","210.009","28.004","200.811","26.945","195.558","24.567","233.229","28.390","245.445","29.361","238.489","27.694","161.959","23.324","211.298","27.903","216.248","29.398","166.739","21.356","228.215","27.752","265.970","31.864","279.717","32.562","379.839","39.996","175.397","23.590","229.656","31.549","217.067","28.470","265.687","32.287","299.592","36.096","339.228","39.155","425.973","45.922","164.628","23.595","150.340","19.870","148.145","20.220","187.307","24.225","237.550","28.849","250.938","30.091","305.244","35.831","379.954","39.745","164.767","23.060","177.834","23.960","168.693","22.644","194.235","23.742","226.365","27.175","274.001","32.478","380.075","42.789","143.187","20.156","215.240","29.301","217.635","29.051","182.114","22.117","277.796","33.375","302.210","35.965","261.639","29.592","188.899","26.481","206.487","28.100","201.586","27.403","159.265","19.851","263.332","31.709","298.792","35.652","317.902","35.993"
"9","30","PHARMACEUTICAL PRODUCTS","BELGIUM","125.361","18.056","115.392","15.136","125.095","16.798","378.671","49.715","301.591","36.770","218.118","26.151","262.768","30.711","313.359","33.496","92.326","12.977","199.013","26.652","131.746","17.759","404.062","50.790","317.856","38.395","249.082","29.689","280.911","32.097","144.706","20.326","124.095","16.862","252.637","33.518","587.439","71.236","222.692","26.741","237.020","27.889","305.363","33.895","141.670","19.817","151.502","20.823","294.902","39.319","448.096","54.243","178.247","21.485","249.684","28.681","301.827","33.266","155.671","21.829","119.132","16.295","274.679","36.899","475.038","58.003","225.461","27.124","283.560","32.871","298.178","32.839","88.623","12.880","258.849","34.516","151.156","20.282","476.791","59.897","195.191","23.760","179.205","21.437","284.138","32.995","98.935","14.248","180.242","23.802","181.834","24.720","358.522","45.920","276.978","33.682","230.012","27.556","234.775","27.330","235.206","24.766","99.257","13.350","116.996","16.073","402.836","52.835","309.912","37.662","245.482","29.577","271.517","31.339","335.898","36.211","116.501","16.697","145.414","19.219","131.711","17.977","357.802","46.276","380.153","46.167","264.508","31.718","240.259","28.203","245.353","25.665","125.626","17.582","143.535","19.339","201.124","26.998","350.645","42.861","174.984","21.007","200.530","23.770","214.656","24.166","105.451","14.844","181.857","24.757","141.530","18.892","434.508","52.770","186.569","22.415","234.315","27.885","250.642","28.348","126.767","17.771","189.224","25.751","143.681","19.532","287.876","35.881","201.027","24.206","258.757","30.875","247.204","27.989"
"10","30","PHARMACEUTICAL PRODUCTS","FRANCE","117.921","16.985","141.932","18.617","213.399","28.655","276.450","36.295","347.901","42.416","421.672","50.557","384.546","44.944","564.841","60.378","123.321","17.334","188.680","25.268","246.182","33.185","265.145","33.328","370.153","44.712","340.561","40.593","409.949","46.841","153.407","21.548","222.858","30.282","283.033","37.551","336.530","40.809","424.392","50.960","420.211","49.445","515.418","57.211","158.290","22.142","197.666","27.168","283.522","37.801","364.683","44.146","431.599","52.023","380.964","43.761","574.502","63.319","172.336","24.166","223.881","30.623","251.753","33.819","348.682","42.574","386.748","46.528","395.581","45.856","551.280","60.714","126.172","18.337","183.043","24.408","251.539","33.751","311.564","39.140","349.027","42.486","393.440","47.065","400.676","46.528","116.775","16.817","152.254","20.106","220.546","29.982","269.142","34.472","292.325","35.548","427.999","51.275","425.269","49.505","511.660","53.876","116.262","15.637","255.988","35.167","340.303","44.633","367.362","44.643","521.273","62.806","523.378","60.410","570.496","61.502","141.975","20.348","148.301","19.601","249.298","34.026","218.365","28.242","260.104","31.588","477.186","57.221","366.973","43.077","506.382","52.970","140.423","19.653","164.913","22.220","206.281","27.690","289.540","35.392","322.065","38.664","377.600","44.758","495.190","55.749","136.445","19.207","189.095","25.742","289.089","38.589","237.903","28.893","375.548","45.119","394.830","46.987","462.075","52.261","129.024","18.087","211.408","28.770","248.315","33.755","320.003","39.885","351.980","42.383","405.403","48.373","474.830","53.761"
